0	I wish I had something profound to say. #BaltimoreUprising
1	@MarineReconDad @The_xXFallenXx @spcdigs @Wallace01S I wouldn't expect a rich man to understand a POOR MAN situation #BaltimoreUprising
2	Is it working? It doesn't seem like its working: #FreddieGray #BaltimoreUprising http://t.co/AQObb4inqf
3	#BaltimoreUprising  &lt;They say we will find and Procecute the protesters yet not know the 6 killer cops made a 4th stop! #StayWoke #Baltimore
4	I'd love to see how US Muslim community can support activists and community leaders on the ground #BaltimoreUprising
5	ALL LIVES DO NOT MATTER. If there was an epidemic of cops shooting white people, then it would be white lives matter.  #BaltimoreUprising
6	Before the curfew #BaltimoreProtest #BaltimoreUprising http://t.co/bGdkbQ9IP6
7	#BaltimoreUprising #BaltimoreRiots #BALTIMORELOOTCREW #RiotShaming media DINDUNUFFIN http://t.co/wOJEaAXGl9
8	@CNNyhis is riveting and extremely  honest.  #BaltimoreUprising this girl is/ should be the face. Kierra did that, thx #BaltimoreUprising
9	I hear no justice no peace but y'all don't know what that means. #BaltimoreUprising
10	#BaltimoreUprising #Baltimore #BaltimoreRiots WE HAVE SO MUCH TO DO. the hard part COMES NOW my Baltimoreans http://t.co/eTG6GtTeQk
11	It should reach Toronto, Ontario #BaltimoreUprising
12	#DonLemonReporting #BaltimoreUprising \u201c@cmcampbell6: "Don Lemon was, well, Don Lemon..." http://t.co/Vn48pxJx8I via @davidzurawik\u201d
13	Possible LIFE for a back window. No indictment for countless lives. #WakeUpAmerica #BaltimoreUprising  https://t.co/0TVkyZcv7V
14	Solve grievances by burning city. #UnsolicitedAdviceIn5Words #BaltimoreUprising #BaltimoreRiots #BALTIMORELOOTCREW http://t.co/Gkcwm0hgOK
15	O'Malley: Heckling \u201cgoes with the territory of being a city mayor.\u201d http://t.co/9QKvDVUtv4 #BaltimoreUprising #nhpolitics #UniteBlue
16	In America, it is easier to mobilize the National Guard to beat up black people than to save them from a hurricane. #BaltimoreUprising
17	Seems like more things change the more they stay the same #BaltimoreUprising
18	I wish ppl would stop treating #BaltimoreUprising like it's a tragedy. The events leading up to/that caused the uprising is the tragedy.
19	#BaltimoreUprising #nerdland #gapol #BlackLivesMatter #FreddieGray #RekiaBoyd  https://t.co/txH9PRiu3V
20	#Geraldo has never looked whiter. #FoxNews #BaltimoreUprising http://t.co/W86tgQiRTg
21	I wonder if BPD revised the transporting officers' reports to include their extra stop. #BaltimoreUprising
22	I'll be covering #PhillyisBaltimore today w/@VictorFiorillo for @phillymag Stay tuned. 2000 people planning to protest. #BaltimoreUprising
23	I jus gotta say, it's not black vs. white, it's good vs. evil.. Innerstand and overstand #BaltimoreUprising
